"","GIS_STATION","Lat","Long"
"171","J-25",57.9991992180775,-172.870253818747
"172","J-26",57.9958743665768,-173.484387439353
"173","K-01",58.3284352349751,-167.838031407592
"174","K-02",58.3382970873786,-167.191130955937
"175","K-03",58.3207398746082,-166.560905109718
"176","K-04",58.3271592561983,-165.929733719008
"177","K-05",58.3309002702703,-165.289081891892
"178","K-06",58.3319294594595,-164.642571351351
"179","K-07",58.337056,-164.010213142857
"180","K-08",58.337022,-163.368165714286
"181","K-09",58.3296485714286,-162.720071428571
"182","K-10",58.3202525714286,-162.055734571429
"183","K-11",58.2372794285714,-161.517437714286
"184","K-12",58.3058762857143,-160.785528857143
"185","K-13",58.2748661764706,-160.003699411765
"186","K-14",58.330404,-159.548838
"187","K-18",58.3316352353506,-168.46835771854
"188","K-19",58.330866363806,-169.117401005597
"189","K-20",58.3385684699739,-169.73605372846
"190","K-21",58.33397,-170.383133275275
"191","K-22",58.3376404133717,-171.017986213156
"192","K-23",58.3329621530081,-171.649154507343
"193","K-24",58.3357955896021,-172.298963479524
"194","K-25",58.3336623191145,-172.927257462203
"195","K-26",58.3319607062485,-173.565843464209
"196","K-27",58.34252133829,-174.254879665428
"197","L-01",58.6758675782881,-167.867003507307
"198","L-02",58.6731035714286,-167.217877602041
"199","L-03",58.6331411111111,-166.573562666667
"200","L-04",58.6657311428571,-165.931682285714
"201","L-05",58.6631683783784,-165.304130540541
"202","L-06",58.6685322857143,-164.651323142857
"203","L-07",58.6690731428571,-164.003990285714
"204","L-08",58.6695551428571,-163.354861142857
